"filename", "language", "Markdown", "TypeScript", "JSON", "MS SQL", "JSON with Comments", "JavaScript", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"d:\Сайты\Nodes\nodes-frontend\src\widgets\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 6, 8, 64
"d:\Сайты\Nodes\nodes-frontend\src\widgets\ProtectedRoute.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
"d:\Сайты\Nodes\nodes-frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 1, 12
"d:\Сайты\Nodes\nodes-frontend\tsconfig.app.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 4, 35
"d:\Сайты\Nodes\nodes-frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Сайты\Nodes\nodes-frontend\tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"d:\Сайты\Nodes\nodes-frontend\vercel.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Сайты\Nodes\nodes-frontend\vite.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"d:\Сайты\Nodes\nodes-frontend\vitest.config.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 1490, 158, 5777, 136, 13, 38, 756, 219, 2, 19, 71, 601, 9280
