Date : 2026-04-12 19:50:28
Directory : e:\Сайты\Nodes
Total : 156 files,  20759 codes, 5541 comments, 2301 blanks, all 28601 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| nodes-frontend\src\features\nodes\components\controls                                       |          3 |        613 |         32 |         62 |        707 |
| nodes-frontend\src\features\nodes\hooks                                                     |          3 |        137 |          1 |         21 |        159 |
| nodes-frontend\src\features\nodes\lib                                                       |          1 |         29 |         15 |         10 |         54 |
| nodes-frontend\src\hooks                                                                    |          3 |         60 |          3 |         17 |         80 |
| nodes-frontend\src\lib                                                                      |          4 |        186 |          9 |         17 |        212 |
| nodes-frontend\src\pages                                                                    |          9 |        892 |         41 |         98 |      1,031 |
| nodes-frontend\src\store                                                                    |          3 |         42 |         12 |         15 |         69 |
| nodes-frontend\src\store (Files)                                                            |          2 |         20 |          8 |          8 |         36 |
| nodes-frontend\src\store\__tests__                                                          |          1 |         22 |          4 |          7 |         33 |
| nodes-frontend\src\tests                                                                    |          6 |        319 |          4 |         80 |        403 |
| nodes-frontend\src\types                                                                    |          1 |         62 |         37 |         15 |        114 |
| nodes-frontend\src\widgets                                                                  |          2 |        114 |          7 |         17 |        138 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                    | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\Сайты\Nodes\.agents\rules\rule.md                                                        | Markdown           |        151 |          0 |         33 |        184 |
| e:\Сайты\Nodes\.agents\skills\brainstorm\SKILL.md                                           | Skill              |         73 |          0 |         23 |         96 |
| e:\Сайты\Nodes\.agents\skills\executing-plans\SKILL.md                                      | Skill              |         62 |          0 |         23 |         85 |
| e:\Сайты\Nodes\.agents\skills\systematic-debugging\SKILL.md                                 | Skill              |        220 |          0 |         77 |        297 |
| e:\Сайты\Nodes\.agents\skills\systematic-debugging\condition-based-waiting.md               | Markdown           |          1 |          0 |          1 |          2 |
| e:\Сайты\Nodes\.agents\skills\systematic-debugging\defense-in-depth.md                      | Markdown           |          1 |          0 |          1 |          2 |
| e:\Сайты\Nodes\.agents\skills\systematic-debugging\root-cause-tracing.md                    | Markdown           |          1 |          0 |          1 |          2 |
| e:\Сайты\Nodes\.agents\skills\test-driven-development\SKILL.md                              | Skill              |        279 |          0 |         93 |        372 |
| e:\Сайты\Nodes\.agents\skills\test-driven-development\testing-anti-patterns.md              | Markdown           |          1 |          0 |          1 |          2 |
| e:\Сайты\Nodes\.agents\skills\using-superpowers\SKILL.md                                    | Skill              |         70 |          0 |         26 |         96 |
| e:\Сайты\Nodes\.agents\skills\verification-before-completion\SKILL.md                       | Skill              |        106 |          0 |         34 |        140 |
| e:\Сайты\Nodes\.agents\skills\writing-plans\SKILL.md                                        | Skill              |         77 |          0 |         40 |        117 |
| e:\Сайты\Nodes\README.md                                                                    | Markdown           |        194 |          0 |         69 |        263 |
| e:\Сайты\Nodes\docs\APP_STRUCTURE.md                                                        | Markdown           |         23 |          0 |          8 |         31 |
| e:\Сайты\Nodes\docs\CONCEPT.md                                                              | Markdown           |         27 |          0 |          6 |         33 |
| e:\Сайты\Nodes\docs\GUIDES.md                                                               | Markdown           |         39 |          0 |         14 |         53 |
| e:\Сайты\Nodes\docs\OPTIMIZATION_PLAN.md                                                    | Markdown           |         46 |          0 |         16 |         62 |
| e:\Сайты\Nodes\docs\PROGRESS.md                                                             | Markdown           |        169 |          0 |         31 |        200 |
| e:\Сайты\Nodes\docs\ROADMAP.md                                                              | Markdown           |         94 |          0 |         18 |        112 |
| e:\Сайты\Nodes\docs\TECHNICAL.md                                                            | Markdown           |         38 |          0 |          8 |         46 |
| e:\Сайты\Nodes\docs\plan.md                                                                 | Markdown           |        870 |          0 |        221 |      1,091 |
| e:\Сайты\Nodes\docs\plans\2026-02-28-inbox-design.md                                        | Markdown           |         41 |          0 |          8 |         49 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-architecture-refactoring.md                            | Markdown           |         73 |          0 |         22 |         95 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-cores-moc-logic-design.md                              | Markdown           |         44 |          0 |         13 |         57 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-cores-moc-plan.md                                      | Markdown           |        112 |          0 |         35 |        147 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-graph-visualization-design.md                          | Markdown           |        117 |          0 |         37 |        154 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-graph-visualization-plan.md                            | Markdown           |        608 |          0 |        168 |        776 |
| e:\Сайты\Nodes\docs\plans\2026-03-06-personalization-and-integrations-design.md             | Markdown           |         54 |          0 |         11 |         65 |
| e:\Сайты\Nodes\docs\supabase-schema.sql                                                     | MS SQL             |        167 |         52 |         33 |        252 |
| e:\Сайты\Nodes\nodes-backend\config\__init__.py                                             | Python             |          0 |          0 |          1 |          1 |
| e:\Сайты\Nodes\nodes-backend\config\asgi.py                                                 | Python             |          4 |          8 |          5 |         17 |
| e:\Сайты\Nodes\nodes-backend\config\settings.py                                             | Python             |        108 |         27 |         36 |        171 |
| e:\Сайты\Nodes\nodes-backend\config\urls.py                                                 | Python             |          6 |         16 |          2 |         24 |
| e:\Сайты\Nodes\nodes-backend\config\wsgi.py                                                 | Python             |          5 |          8 |          6 |         19 |
| e:\Сайты\Nodes\nodes-backend\engine\__init__.py                                             | Python             |          0 |          0 |          1 |          1 |
| e:\Сайты\Nodes\nodes-backend\engine\admin.py                                                | Python             |          1 |          1 |          2 |          4 |
| e:\Сайты\Nodes\nodes-backend\engine\apps.py                                                 | Python             |          3 |          0 |          3 |          6 |
| e:\Сайты\Nodes\nodes-backend\engine\authentication.py                                       | Python             |         74 |         15 |         20 |        109 |
| e:\Сайты\Nodes\nodes-backend\engine\migrations\__init__.py                                  | Python             |          0 |          0 |          1 |          1 |
| e:\Сайты\Nodes\nodes-backend\engine\models.py                                               | Python             |        122 |          4 |         26 |        152 |
| e:\Сайты\Nodes\nodes-backend\engine\services.py                                             | Python             |        111 |         25 |         31 |        167 |
| e:\Сайты\Nodes\nodes-backend\engine\tests.py                                                | Python             |          1 |          1 |          2 |          4 |
| e:\Сайты\Nodes\nodes-backend\engine\urls.py                                                 | Python             |          5 |          0 |          2 |          7 |
| e:\Сайты\Nodes\nodes-backend\engine\views.py                                                | Python             |         19 |          6 |          7 |         32 |
| e:\Сайты\Nodes\nodes-backend\manage.py                                                      | Python             |         15 |          3 |          5 |         23 |
| e:\Сайты\Nodes\nodes-backend\vercel.json                                                    | JSON               |         19 |          0 |          1 |         20 |
| e:\Сайты\Nodes\nodes-frontend\README.md                                                     | Markdown           |         79 |          0 |         27 |        106 |
| e:\Сайты\Nodes\nodes-frontend\bundle-stats.html                                             | HTML               |        138 |      4,793 |         20 |      4,951 |
| e:\Сайты\Nodes\nodes-frontend\components.json                                               | JSON               |         25 |          0 |          1 |         26 |
| e:\Сайты\Nodes\nodes-frontend\eslint.config.js                                              | JavaScript         |         22 |          0 |          2 |         24 |
| e:\Сайты\Nodes\nodes-frontend\index.html                                                    | HTML               |         19 |          0 |          3 |         22 |
| e:\Сайты\Nodes\nodes-frontend\knip.json                                                     | JSON               |         12 |          0 |          1 |         13 |
| e:\Сайты\Nodes\nodes-frontend\package-lock.json                                             | JSON               |      8,787 |          0 |          1 |      8,788 |
| e:\Сайты\Nodes\nodes-frontend\package.json                                                  | JSON               |         73 |          0 |          1 |         74 |
